round=1 log2_max=-2.000000000000 seconds=0.0441
round=2 log2_max=-8.000000000000 seconds=0.0466
round=3 log2_max=-12.000000000000 seconds=0.1239
round=4 log2_max=-16.045803689613 seconds=0.2064
round=5 log2_max=-18.045803689613 seconds=0.0496
round=6 log2_max=-20.997272870540 seconds=0.0170
round=7 log2_max=-22.539128198521 seconds=0.0177
round=8 log2_max=-23.703761514708 seconds=0.0176
round=9 log2_max=-23.703761514708 seconds=0.0614
round=10 log2_max=-25.703761481081 seconds=0.0163
round=11 log2_max=-27.703760607656 seconds=0.0088
round=12 log2_max=-30.896404557758 seconds=0.0069
round=13 log2_max=-32.896404387060 seconds=0.0057
round=14 log2_max=-37.804968416217 seconds=0.0074
round=15 log2_max=-41.289626435148 seconds=0.0174
round=16 log2_max=-45.349309540206 seconds=0.0128
round=17 log2_max=-47.349309540206 seconds=0.0130
round=18 log2_max=-54.150828307294 seconds=0.0166
round=19 log2_max=-58.647594205463 seconds=0.0139
round=20 log2_max=-63.422802585705 seconds=0.0169
round=21 log2_max=-64.405830945453 seconds=0.0171
round=22 log2_max=-67.171709598200 seconds=0.0168
round=23 log2_max=-68.615869209877 seconds=0.0170
round=24 log2_max=-69.759690584122 seconds=0.0138
round=25 log2_max=-69.759690584122 seconds=0.0147
round=26 log2_max=-71.759271907918 seconds=0.0145
round=27 log2_max=-73.759240021064 seconds=0.0118
round=28 log2_max=-76.951873670056 seconds=0.0172
round=29 log2_max=-78.951872670306 seconds=0.0144
round=30 log2_max=-83.860183774487 seconds=0.0107
round=31 log2_max=-87.344804600064 seconds=0.0173
round=32 log2_max=-91.404484442398 seconds=0.0172
round=33 log2_max=-93.404484442398 seconds=0.0178
round=34 log2_max=-100.205991111312 seconds=0.0170
