round=1 log2_max=0.000000000000 seconds=0.1329
round=2 log2_max=-2.000000000000 seconds=0.0284
round=3 log2_max=-4.000000000000 seconds=0.0762
round=4 log2_max=-7.299560281859 seconds=0.1132
round=5 log2_max=-9.299560281859 seconds=0.1741
round=6 log2_max=-14.283796794489 seconds=0.2171
round=7 log2_max=-15.851154331780 seconds=0.0340
round=8 log2_max=-18.267129302156 seconds=0.0168
round=9 log2_max=-18.695302491869 seconds=0.0167
round=10 log2_max=-22.571590453962 seconds=0.0172
round=11 log2_max=-23.254276917562 seconds=0.0168
round=12 log2_max=-25.092062318449 seconds=0.0169
round=13 log2_max=-27.039384360264 seconds=0.0170
round=14 log2_max=-29.706663495978 seconds=0.0168
round=15 log2_max=-31.624810638475 seconds=0.0166
round=16 log2_max=-33.623757672977 seconds=0.0166
round=17 log2_max=-35.548083134807 seconds=0.0127
round=18 log2_max=-37.310755818978 seconds=0.0169
round=19 log2_max=-39.241971932459 seconds=0.0165
round=20 log2_max=-41.649466363531 seconds=0.0171
round=21 log2_max=-43.565087601434 seconds=0.0161
round=22 log2_max=-45.353182402562 seconds=0.0169
round=23 log2_max=-47.254950568259 seconds=0.0143
round=24 log2_max=-49.200711189507 seconds=0.0135
round=25 log2_max=-51.100036275465 seconds=0.0166
round=26 log2_max=-52.999870363449 seconds=0.0167
round=27 log2_max=-54.900127965714 seconds=0.0169
round=28 log2_max=-56.785448224795 seconds=0.0139
round=29 log2_max=-58.690516846613 seconds=0.0143
round=30 log2_max=-60.644195205733 seconds=0.0158
round=31 log2_max=-62.565633769348 seconds=0.0172
round=32 log2_max=-64.483981789161 seconds=0.0165
